date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
9/11/2014,163.0488,164.4994,162.2296,163.5949,2299390,2299390,0.153592,0.094,163.5637,11-Sep-14,0.040879991
9/12/2014,163.3816,163.4925,162.6136,163.2195,2900967,2900967,-0.375449,-0.229,163.0506,12-Sep-14,0.038491491
9/15/2014,163.3389,164.252,162.6222,163.6717,2457803,2457803,0.452248,0.277,163.3857,15-Sep-14,0.041368634
9/16/2014,163.1939,165.1735,162.8269,164.653,2561528,2561528,0.981294,0.6,164.4379,16-Sep-14,0.0476122
9/17/2014,164.8749,165.2333,164.0898,164.5165,3214117,3214117,-0.136525,-0.083,164.6248,17-Sep-14,0.046743713
9/18/2014,164.508,165.6514,164.4397,165.3271,2963446,2963446,0.810637,0.493,165.3074,18-Sep-14,0.051901192
9/19/2014,166.0012,166.3937,164.8493,165.5404,8854514,8854514,0.213325,0.129,165.7681,19-Sep-14,0.053258323
9/22/2014,165.3015,165.6599,164.3714,164.781,3317962,3317962,-0.759439,-0.459,165.0266,22-Sep-14,0.048426606
9/23/2014,164.4738,164.7469,163.4243,163.5096,3301797,3301797,-1.2714,-0.772,163.9606,23-Sep-14,0.040337266
9/24/2014,162.9805,164.2178,162.0248,164.0984,3082594,3082594,0.58878,0.36,163.2793,24-Sep-14,0.044083533
9/25/2014,163.8765,164.2605,161.2483,161.2825,4158816,4158816,-2.8159,-1.716,161.9829,25-Sep-14,0.026167241
9/26/2014,161.2142,162.4088,160.9412,162.1784,2494024,2494024,0.895968,0.556,161.8177,26-Sep-14,0.031867445
9/29/2014,160.8558,162.0931,160.523,161.8201,2344723,2344723,-0.358387,-0.221,161.4673,29-Sep-14,0.029587745
9/30/2014,162.0504,162.4686,159.3881,159.7124,3705432,3705432,-2.1077,-1.302,160.091,30-Sep-14,0.016177408
10/1/2014,162.0504,162.4686,159.3881,159.7124,3723192,3723192,0,0,160.091,1-Oct-14,0.016177408
10/2/2014,160.1305,160.2329,158.9188,159.4905,2283619,2283619,-0.221858,-0.139,159.5775,2-Oct-14,0.014765559
10/3/2014,160.5145,161.5897,160.0452,160.9923,3071521,3071521,1.5018,0.942,160.9851,3-Oct-14,0.02432083
10/6/2014,161.8627,162.8867,161.0265,161.3081,2100191,2100191,0.315722,0.196,161.6886,6-Oct-14,0.026330122
10/7/2014,160.2244,160.523,158.3215,158.4666,2994065,2994065,-2.8415,-1.762,159.2363,7-Oct-14,0.008250949
10/8/2014,158.6884,161.7859,158.3812,161.5811,2985329,2985329,3.1146,1.965,160.4844,8-Oct-14,0.028067097
10/9/2014,161.3763,161.7006,158.7908,159.0724,2625609,2625609,-2.5087,-1.553,159.6374,9-Oct-14,0.012105379
10/10/2014,158.5946,160.1988,157.9461,158.6543,5090345,5090345,-0.418117,-0.263,159.1633,10-Oct-14,0.009445199
